Date,Soil_Moisture,Irrigation_mm,Rain_mm,ET_o,ETmax,Kc,rho
2017-08-13,0.39792616850920687,0.0,0.48907,10.683530912756053,9.081001275842645,0.85,0.04054018426715466
2017-08-14,0.35956933245633793,58.96252155303955,1.67,12.217591266626092,10.384952576632179,0.85,0.04636139543139365
2017-08-15,0.5838888368152994,0.0,2.751,11.578884284783772,9.842051642066206,0.85,0.043937730544938415
2017-08-16,0.5522323562703609,0.0,0.44745,10.901450536937668,9.266232956397017,0.85,0.04136711141248668
2017-08-17,0.5128627895007314,0.0,1.2256,10.199757477440269,8.669793855824228,0.85,0.03870443685635815
2017-08-18,0.4796297812158018,0.0,1.6271,10.2054086537833,8.674597355715804,0.85,0.038725881052302694
2017-08-19,0.4481677394492134,0.0,0.55464,10.135617522879912,8.615274894447925,0.85,0.03846104863592823
2017-08-20,0.41218276224185657,0.0,6.5984,10.281947629227417,8.739655484843304,0.85,0.03901631912876474
2017-08-21,0.4026235859702347,42.516890466213226,20.327,12.095814243341923,10.281442106840634,0.85,0.045899295119824254
2017-08-22,0.6372773732888622,0.0,5.2501,12.57715417327037,10.690581047279816,0.85,0.047725808246784886
2017-08-23,0.6129895114706488,0.0,0.0,12.352259545570032,10.499420613734527,0.85,0.046872413454171986
2017-08-24,0.5661170980164768,0.0,0.0,12.659025629240853,10.760171784854725,0.85,0.04803648118238716
2017-08-25,0.5180806168340897,0.0,0.10535,11.694932006379835,9.94069220542286,0.85,0.044378090202780614
2017-08-26,0.4741728391313091,0.0,6.427,11.385439229140419,9.677623344769355,0.85,0.04320367564629176
2017-08-27,0.4596611277707316,0.0,4.0282,10.394830216254185,8.835605683816057,0.85,0.03944466823132168
2017-08-28,0.4381994952536956,34.75104331970215,4.251,10.384043340109747,8.826436839093285,0.85,0.0394037358888093
2017-08-29,0.5729120241849852,0.0,14.033,11.97132087306103,10.175622742101876,0.85,0.04542688724152622
2017-08-30,0.5901324583720304,0.0,5.3066,11.818356035342198,10.045602630040868,0.85,0.044846440312682444
2017-08-31,0.5689761966307766,0.0,11.993,12.665044020902123,10.765287417766803,0.85,0.04805931882931608
2017-09-01,0.574457056372889,0.0,0.90374,12.779750789886938,10.862788171403897,0.85,0.04849459005091025
2017-09-02,0.5299970198934073,0.0,0.11054,12.842824545744968,10.916400863883222,0.85,0.048733932428050096
2017-09-03,0.48175656960821434,0.0,0.0,13.092205819753069,11.128374946790109,0.85,0.04968024529817012
2017-09-04,0.4320763243100442,56.312642097473145,0.0,13.037275417182524,11.081684104605145,0.85,0.04947180403841582
2017-09-05,0.634000243921062,0.0,0.0,12.21490220316165,10.382666872687402,0.85,0.046351191395925896
2017-09-06,0.5876490525251361,0.0,0.0,11.853160625156217,10.075186531382785,0.85,0.044978511300816
2017-09-07,0.5426705412243201,0.0,0.0,13.530873996036537,11.501242896631055,0.85,0.05134483435996006
2017-09-08,0.49132570686436006,0.0,0.0,13.735255204704153,11.674966923998529,0.85,0.05212038805356485
2017-09-09,0.4392053188107952,0.0,11.341,13.43471757338336,11.419509937375855,0.85,0.05097995507757078
2017-09-10,0.4388548280189387,0.0,0.0,13.911688629065896,11.824935334706012,0.85,0.0527898898870804
2017-09-11,0.3860649381318583,59.16697025299072,1.3984,13.325031823797966,11.32627705022827,0.85,0.0505637368313762
2017-09-12,0.6058823185013336,0.0,0.24808,12.09023228026518,10.276697438225403,0.85,0.04587811356350626
2017-09-13,0.5611117049378272,0.0,8.7526,11.992810874802828,10.193889243582403,0.85,0.04550843412313572
2017-09-14,0.5546773779575487,0.0,4.422,13.181665927097841,11.204416038033164,0.85,0.05001971445550519
2017-09-15,0.524398734930615,0.0,4.4303,11.92574450600247,10.136882830102099,0.85,0.045253941205812935
2017-09-16,0.498922918724802,0.0,2.5857,11.292217976348411,9.59838527989615,0.85,0.04284993428525066
2017-09-17,0.4676162880109799,0.0,3.5823,12.124941347415595,10.306200145303254,0.85,0.046009822077246666
2017-09-18,0.43759887664801894,36.63883924484253,0.0,10.740861763463727,9.129732498944167,0.85,0.04075773437028645
2017-09-19,0.5604073889064938,0.0,9.5969,10.468228173491283,8.63628824313031,0.825,0.038554858228260304
2017-09-20,0.5646958342496621,0.0,9.1104,12.446287432797384,9.957029946237906,0.7999999999999999,0.04445102654570493
2017-09-21,0.5609162362753857,0.0,2.1851,12.898717542297774,9.996506095280775,0.775,0.044627259353932025
2017-09-22,0.5260438876357394,0.0,0.31895,12.693738449607185,9.52030383720539,0.75,0.04250135641609548
2017-09-23,0.48496641514821537,0.0,0.0,12.955566537043337,9.39278573935642,0.725,0.04193207919355544
2017-09-24,0.4430343359546599,0.0,0.0,13.39231440962068,9.374620086734476,0.7,0.04185098253006462
2017-09-25,0.40118335342459527,44.10440593957901,0.0,13.391014272737273,9.038934634097659,0.675,0.04035238675936455
2017-09-26,0.5577256360383513,0.0,0.0,13.188079239596757,8.57225150573789,0.6499999999999999,0.03826897993632986
2017-09-27,0.5194566561020215,0.0,0.17687,13.114830074965344,8.19676879685334,0.625,0.03659271784309526
2017-09-28,0.48365353647321196,0.0,0.44218,13.2819479014355,7.969168740861299,0.6,0.03557664616455937
2017-09-29,0.45005090816579546,0.0,0.22796,13.13811662139737,7.554417057303486,0.575,0.03372507614867627
2017-09-30,0.41734351058854774,0.0,0.0,13.342919520164553,7.338605736090505,0.55,0.032761632750404036
2017-10-01,0.3845818778381437,0.0,0.0,13.141581040434481,6.899330046228101,0.5249999999999999,0.030800580563518306
2017-10-02,0.3537812972746254,34.271836280822754,0.0,13.462734251970131,6.731367125985066,0.5,0.03005074609814761
2017-10-03,0.4767298202872936,0.0,0.0,13.539328416094357,6.431180997644819,0.475,0.028710629453771508
2017-10-04,0.4480191908335221,0.0,0.0,13.694249666556349,6.1624123499503565,0.44999999999999996,0.02751076941942123
2017-10-05,0.4205084214141009,0.0,0.0,13.196886899234539,5.608676932174679,0.425,0.02503873630435124
2017-10-06,0.39546968510974967,0.0,0.0,12.363531707059884,4.945412682823953,0.39999999999999997,0.02207773519117836
2017-10-07,0.37339194991857133,0.0,3.6125,12.243835313112026,4.591438242417009,0.375,0.02049749215364736
2017-10-08,0.3690216899077811,0.0,7.0103,11.924785882587447,4.173675058905606,0.35,0.01863247794154288
2017-10-09,0.38168519410909535,0.0,8.9982,9.742528239226822,3.412517999469719,0.35027027027027025,0.015234455354775528
2017-10-10,0.4066212744686055,0.0,11.379,9.99280009306631,3.5028815461370275,0.3505405405405405,0.015637864045254586
2017-10-11,0.44178251756620807,0.0,11.534,11.893757521861321,4.17245871983135,0.3508108108108108,0.018627047856389953
2017-10-12,0.47464654113838955,0.0,9.0116,12.21268275562978,4.287641864746779,0.35108108108108105,0.019141258324762402
2017-10-13,0.4957356399564843,0.0,3.7571,12.184272333885444,4.280960549743534,0.3513513513513513,0.019111431025640772
2017-10-14,0.4933969767879864,0.0,4.2888,12.059040375029118,4.240219331868346,0.3516216216216216,0.01892955058869797
2017-10-15,0.493613854770717,0.0,3.2932,12.261096236604363,4.3145803513672645,0.35189189189189185,0.019261519425746713
2017-10-16,0.489054121059256,0.0,0.0,12.361637722893306,4.353301068359453,0.3521621621621621,0.019434379769461843
2017-10-17,0.46961974128979417,0.0,0.0,12.21802150287812,4.3060270377710985,0.3524324324324324,0.019223334990049544
2017-10-18,0.45039640629974464,0.0,0.0,11.825621933869002,4.170928817215959,0.3527027027027027,0.018620217933999813
2017-10-19,0.43177618836574483,0.0,0.0,11.558704047468687,4.0799101313497586,0.352972972972973,0.018213884514954277
2017-10-20,0.41356230385079057,0.0,0.0,11.39110392219169,4.023830493595821,0.35324324324324324,0.017963528989267057
2017-10-21,0.3955987748615235,0.0,0.0,11.756220426340784,4.155982788555066,0.3535135135135135,0.018553494591763687
2017-10-22,0.3770452802697598,0.0,0.0,11.707798494318848,4.142029251098209,0.3537837837837838,0.01849120201383129
2017-10-23,0.3585540782559285,25.22254317998886,0.0,11.53925526897807,4.08552010874629,0.35405405405405405,0.018238929056903077
2017-10-24,0.45291578839540425,0.0,0.0,11.36990927783839,4.028635422498954,0.3543243243243243,0.017984979564727468
2017-10-25,0.4349308088306768,0.0,0.0,11.005776040347522,3.902588693225932,0.3545945945945946,0.01742227095190148
2017-10-26,0.41750853787877534,0.0,0.0,10.734614353381746,3.809337471889252,0.35486486486486485,0.017005970856648445
2017-10-27,0.4005025670221269,0.0,0.0,10.743260749116583,3.8153093579295105,0.3551351351351351,0.017032631062185312
2017-10-28,0.38346993595994155,0.0,0.0,10.619323267520883,3.7741648910243137,0.3554054054054054,0.016848950406358542
2017-10-29,0.366620985553583,0.0,0.0,10.467683944015675,3.7231005595471967,0.35567567567567565,0.0166209846408357
2017-10-30,0.3500000009127473,26.019493639469147,0.0,10.528926330816654,3.7477286426177114,0.3559459459459459,0.016730931440257637
2017-10-31,0.44942752322011975,0.0,0.0,10.569519311366095,3.7650341763190576,0.3562162162162162,0.016808188287138648
2017-11-01,0.4326193349329811,0.0,0.0,10.578982284951998,3.77126422536532,0.35648648648648645,0.016836001006095176
2017-11-02,0.41578333392688593,0.0,0.0,10.495340698068786,3.744283708500215,0.3567567567567567,0.016715552270090243
2017-11-03,0.3990677816567957,0.0,0.0,10.376492068881657,3.7046881143223422,0.357027027027027,0.016538786224653313
2017-11-04,0.38252899543214236,0.0,0.0,10.202796625005274,3.6454316589883704,0.35729729729729726,0.01627424847762665
2017-11-05,0.3662547469545157,0.0,0.0,10.182867730155452,3.6410632451339633,0.3575675675675676,0.016254746630062333
2017-11-06,0.3500000003244534,24.752469956874847,0.0,10.022904435785387,3.586574452156717,0.35783783783783785,0.016011493089985344
2017-11-07,0.44449060525623074,0.0,0.0,9.853214143062283,3.528515875556088,0.3581081081081081,0.01575230301587539
2017-11-08,0.42873830224035536,0.0,0.0,9.683213235367303,3.470254256782985,0.3583783783783784,0.015492206503495465
2017-11-09,0.4132460957368599,0.0,0.0,9.714550880464783,3.4841105455072343,0.35864864864864865,0.015554064935300151
2017-11-10,0.39769203080155974,0.0,0.0,9.94479740427111,3.569375933208658,0.3589189189189189,0.015934713987538648
2017-11-11,0.3817573168140211,0.0,0.0,9.915881328452159,3.561677374462951,0.3591891891891892,0.0159003454217096
2017-11-12,0.3658569713923115,0.0,0.0,9.881396141890948,3.5519613158689083,0.35945945945945945,0.015856970160129054
2017-11-13,0.35000000123218244,24.671803414821625,0.0,9.712078142334885,3.4937232452561435,0.3597297297297297,0.015596978773464925
2017-11-14,0.4445450019891712,0.0,0.0,9.802581164260856,3.5289292191339077,0.36,0.015754148299704944
2017-11-15,0.42879085368946623,0.0,0.0,9.81446320300497,3.5358593107042227,0.36027027027027025,0.01578508620850099
2017-11-16,0.41300576748096524,0.0,0.0,9.699201772153486,3.4969554497439868,0.3605405405405405,0.015611408257785652
2017-11-17,0.39739435922317956,0.0,0.0,9.604606242484481,3.4654457658694002,0.3608108108108108,0.015470740026202677
